StudentID,Age,Gender,StudyHoursPerDay,AttendancePercent,PreviousScore,ExtracurricularActivities,SleepHours,FinalResult
70,16,Male,1.6,64.3,45,No,5.2,Pass
71,16,Female,1.9,58.7,57,Yes,8.9,Pass
72,16,Female,1.2,94.8,60,Yes,4.7,Pass
73,15,Female,1.8,54.0,81,Yes,6.5,Pass
74,16,Female,7.1,76.2,75,No,7.1,Pass
75,15,Male,1.6,70.5,80,No,7.5,Pass
76,16,Female,3.9,99.1,77,Yes,6.8,Pass
77,18,Female,8.6,55.6,73,No,4.0,Pass
78,18,Male,1.2,69.9,56,Yes,5.6,Fail
79,17,Female,8.3,98.5,76,No,6.6,Pass
80,18,Male,3.5,93.3,64,Yes,4.4,Pass
81,17,Female,2.1,90.9,77,Yes,5.8,Pass
82,18,Female,7.3,62.9,97,No,4.2,Pass
83,15,Female,6.7,58.5,51,Yes,4.4,Pass
84,18,Male,8.9,83.4,62,No,6.0,Pass
85,17,Male,7.6,96.5,92,No,4.7,Fail
86,17,Female,8.2,77.8,81,Yes,6.8,Pass
87,16,Male,3.5,78.6,61,Yes,7.4,Pass
88,15,Male,2.6,64.0,60,No,8.0,Pass
89,18,Male,7.8,88.5,66,Yes,5.0,Pass
90,16,Male,8.3,59.4,96,Yes,4.8,Pass
91,18,Male,9.9,66.2,70,Yes,4.5,Pass
92,18,Male,4.7,71.3,45,Yes,7.2,Pass
93,16,Female,4.3,75.4,66,Yes,7.5,Fail
94,16,Female,8.0,62.1,79,No,4.2,Pass
95,16,Male,4.1,55.7,73,No,8.7,Pass
96,16,Female,9.4,80.5,51,Yes,4.3,Pass
97,16,Female,8.7,64.4,84,Yes,6.7,Pass
98,18,Female,4.9,79.1,96,Yes,7.5,Pass
99,16,Female,7.8,57.7,92,No,8.4,Pass
100,15,Male,7.8,74.1,46,Yes,7.6,Pass
101,17,Female,1.9,76.6,49,No,8.0,Fail
102,16,Female,9.1,52.6,84,No,5.7,Pass
103,16,Male,5.5,66.8,56,No,8.1,Pass
104,18,Male,8.4,56.7,65,Yes,4.4,Fail
105,16,Female,3.9,53.2,60,No,8.5,Pass
106,16,Female,9.1,99.5,67,Yes,6.7,Pass
107,16,Female,4.5,66.1,97,No,8.1,Pass
108,18,Female,1.1,90.5,85,Yes,6.3,Pass
109,16,Female,9.1,62.7,41,No,7.2,Pass
110,17,Female,1.8,84.1,99,Yes,6.6,Fail
111,18,Male,3.9,88.0,93,No,7.7,Pass
112,17,Female,9.6,79.8,82,Yes,4.4,Pass
113,18,Female,9.6,73.6,40,Yes,4.3,Pass
114,16,Male,6.2,70.6,90,Yes,5.2,Pass
115,17,Male,6.7,67.4,92,Yes,4.8,Pass
116,18,Male,5.0,96.5,75,No,8.4,Pass
117,15,Male,3.6,91.5,90,No,5.1,Fail
118,16,Female,4.0,98.3,65,Yes,8.9,Pass
119,18,Female,7.1,56.2,68,No,5.7,Pass
120,15,Female,7.8,86.5,60,Yes,4.9,Pass
121,18,Female,8.1,96.9,50,Yes,7.9,Pass
122,15,Female,8.1,59.1,79,No,7.3,Pass
123,16,Female,1.8,53.3,50,Yes,6.5,Pass
124,17,Male,5.4,87.1,75,Yes,6.8,Fail
125,15,Female,1.5,78.7,88,No,7.6,Pass
126,18,Male,5.9,92.1,98,Yes,5.1,Pass
127,16,Male,5.0,57.0,78,Yes,9.0,Fail
128,15,Female,9.0,89.8,79,Yes,8.9,Fail
129,18,Male,4.2,60.1,74,Yes,7.3,Pass
130,18,Female,2.1,58.2,93,No,5.0,Pass
131,18,Male,2.3,58.2,73,No,7.4,Pass
132,15,Female,7.9,90.7,94,No,4.4,Fail
133,15,Male,6.6,83.3,86,Yes,4.2,Fail
134,15,Female,1.9,76.2,63,Yes,5.3,Pass
135,17,Female,1.8,67.9,93,No,6.3,Fail
136,15,Female,7.3,93.9,61,Yes,8.3,Pass
137,15,Female,1.7,69.6,44,Yes,7.6,Pass
138,15,Female,8.4,90.8,95,Yes,7.7,Pass
139,17,Male,7.4,72.0,72,Yes,6.1,Fail
140,15,Male,1.7,68.8,97,No,5.7,Pass
141,18,Male,1.8,73.1,75,No,5.9,Fail
142,15,Female,9.9,65.1,86,No,8.9,Fail
143,18,Male,4.4,87.4,59,Yes,4.2,Pass
144,18,Female,4.3,75.1,58,No,8.3,Pass
145,18,Female,8.3,61.6,74,No,6.9,Pass
146,17,Male,9.5,95.0,91,Yes,6.2,Pass
147,17,Male,9.9,69.2,82,Yes,7.6,Pass
148,17,Female,7.8,77.2,56,No,6.4,Pass
149,15,Male,4.4,95.3,98,No,8.4,Fail
150,18,Female,1.8,81.2,84,No,8.5,Pass
151,17,Female,8.0,55.8,82,No,6.1,Pass
152,17,Female,6.0,97.0,73,Yes,5.4,Pass
153,15,Female,4.8,81.4,48,No,7.0,Pass
154,17,Female,9.2,66.7,65,No,8.6,Pass
155,15,Male,2.0,57.0,41,Yes,5.1,Pass
156,16,Male,5.4,89.7,92,No,7.1,Fail
157,17,Female,1.1,81.0,48,Yes,7.2,Pass
158,16,Female,5.2,76.7,48,Yes,7.7,Fail
159,15,Male,1.5,94.7,79,Yes,4.7,Fail
160,18,Male,2.1,89.4,56,No,7.6,Pass
161,17,Female,2.1,57.6,40,No,8.5,Fail
162,15,Male,6.8,65.6,64,Yes,4.9,Pass
163,18,Female,7.7,62.4,82,No,5.2,Fail
164,18,Male,6.3,87.2,79,No,8.9,Pass
165,16,Female,9.7,51.7,81,Yes,4.9,Fail
166,15,Male,4.4,78.5,64,Yes,8.3,Fail
167,18,Female,3.6,88.1,78,No,6.5,Fail
168,17,Male,8.8,93.8,74,Yes,5.2,Fail
169,17,Male,3.0,67.1,42,No,8.4,Pass
170,16,Female,9.7,91.1,89,No,6.2,Pass
171,18,Male,1.1,55.5,76,No,6.6,Pass
172,15,Female,9.7,92.3,83,No,5.8,Pass
173,17,Male,1.4,56.4,83,Yes,7.0,Pass
174,18,Female,9.0,69.9,90,Yes,4.8,Pass
175,18,Male,5.7,89.9,69,Yes,6.0,Fail
176,16,Female,9.9,57.5,77,Yes,8.8,Pass
177,17,Male,1.7,61.5,73,No,5.3,Fail
178,17,Female,6.0,86.1,51,No,7.3,Pass
179,15,Male,9.7,86.0,58,Yes,5.6,Fail
180,17,Female,5.7,82.1,76,No,7.9,Fail
181,15,Female,6.7,84.7,83,No,4.7,Pass
182,17,Female,7.3,77.1,98,No,8.8,Pass
183,16,Male,5.1,62.6,98,Yes,6.3,Fail
184,17,Female,6.6,67.3,88,Yes,5.2,Pass
185,15,Male,6.3,59.1,56,Yes,4.4,Pass
186,15,Female,9.1,95.4,49,No,4.8,Pass
187,16,Male,1.4,79.2,96,Yes,6.6,Pass
188,17,Female,3.5,70.0,94,Yes,5.7,Pass
189,17,Male,9.6,73.1,88,Yes,8.1,Pass
190,16,Male,9.0,97.4,86,Yes,6.2,Pass
191,17,Female,5.1,57.7,51,Yes,5.2,Pass
192,17,Male,6.6,79.3,55,Yes,7.1,Fail
193,15,Male,3.5,75.3,63,No,7.5,Pass
194,17,Female,2.7,80.6,58,No,4.8,Fail
195,17,Male,5.2,50.9,47,Yes,4.8,Pass
196,16,Male,4.2,93.6,70,Yes,4.2,Pass
197,16,Male,6.3,96.6,60,No,7.7,Pass
198,18,Female,1.7,78.3,56,No,7.3,Pass
199,15,Male,9.8,84.8,62,Yes,6.4,Pass
200,17,Female,9.9,96.1,76,Yes,8.2,Pass
201,17,Male,7.3,85.4,93,Yes,8.0,Pass
202,18,Male,5.8,57.6,55,Yes,6.9,Pass
203,17,Male,3.8,78.8,45,No,8.3,Pass
204,15,Female,8.3,80.3,47,Yes,5.0,Pass
205,18,Male,7.2,71.2,64,Yes,4.6,Pass
206,15,Male,2.5,86.8,57,Yes,5.3,Fail
207,18,Female,9.2,96.7,64,Yes,4.3,Pass
208,18,Male,8.4,96.3,51,No,6.7,Pass
209,16,Female,9.5,72.5,54,No,8.7,Fail
210,15,Female,7.5,55.7,98,No,4.2,Pass
211,17,Male,6.5,99.2,65,Yes,4.6,Pass
212,17,Female,4.8,91.9,80,Yes,6.3,Fail
213,15,Male,9.4,56.2,84,No,8.7,Pass
214,17,Female,8.8,96.0,65,Yes,5.6,Pass
215,17,Female,1.4,93.5,86,Yes,6.5,Pass
216,15,Male,1.2,75.9,71,No,4.2,Pass
217,18,Female,4.4,79.6,49,No,4.7,Pass
218,15,Female,8.3,70.0,55,No,8.9,Pass
219,18,Female,9.9,52.7,46,No,8.8,Pass
220,17,Female,2.4,66.8,56,Yes,4.0,Pass
221,17,Female,6.3,90.1,62,Yes,8.8,Fail
222,17,Male,4.4,50.2,65,No,7.2,Fail
223,16,Female,9.7,66.7,60,Yes,8.3,Pass
224,18,Male,8.6,69.9,61,No,6.3,Pass
225,16,Female,8.5,76.9,97,No,6.6,Pass
226,16,Male,5.2,96.0,46,Yes,6.4,Pass
227,15,Male,4.7,67.3,53,No,7.3,Pass
228,16,Female,3.5,67.3,54,Yes,4.7,Pass
229,15,Female,1.5,86.9,92,Yes,4.1,Fail
230,15,Female,8.8,72.6,46,Yes,5.5,Pass
231,16,Male,8.3,61.2,48,Yes,7.5,Pass
232,18,Female,10.0,72.6,90,No,5.0,Pass
233,18,Male,10.0,57.0,87,Yes,7.4,Pass
234,18,Male,6.0,58.8,47,No,8.8,Fail
235,18,Male,7.9,74.9,89,No,4.5,Pass
236,18,Female,9.5,70.9,98,No,7.4,Fail
237,16,Female,8.6,95.7,62,No,6.2,Pass
238,16,Male,3.2,68.1,68,Yes,8.3,Pass
239,17,Male,5.1,79.0,57,Yes,4.9,Pass
240,18,Female,2.2,81.6,70,No,7.5,Pass
241,16,Male,9.6,50.7,69,No,8.2,Pass
242,17,Female,6.5,83.2,91,Yes,8.7,Fail
243,18,Male,3.1,58.9,78,No,7.4,Pass
244,15,Female,7.0,98.1,74,Yes,6.5,Pass
245,17,Male,6.6,57.4,57,No,7.1,Pass
246,16,Female,4.2,70.7,98,Yes,8.3,Pass
247,15,Male,2.0,54.3,81,No,6.9,Pass
248,15,Female,7.0,99.8,78,No,4.2,Fail
249,15,Female,5.7,75.1,56,Yes,8.7,Fail
250,17,Male,8.0,79.8,53,No,7.4,Fail
251,16,Male,5.7,53.4,70,No,7.4,Pass
252,15,Female,8.7,87.5,63,Yes,5.1,Pass
253,18,Male,6.0,60.5,74,No,7.3,Pass
254,15,Female,6.0,94.9,83,Yes,6.0,Pass
255,15,Male,8.9,60.3,99,Yes,7.3,Fail
256,17,Female,4.6,59.5,84,No,4.5,Pass
257,17,Female,2.2,51.8,73,No,7.3,Pass
258,16,Female,1.3,73.6,42,No,9.0,Pass
259,18,Female,7.8,78.2,76,No,4.2,Pass
260,17,Female,6.6,53.3,82,No,8.9,Pass
261,15,Female,7.3,88.8,79,No,6.0,Pass
262,16,Male,2.9,72.7,65,No,8.4,Pass
263,15,Male,2.2,76.2,94,Yes,7.9,Pass
264,15,Male,1.1,72.0,62,No,6.8,Pass
265,17,Female,4.2,70.0,83,Yes,7.7,Fail
266,16,Female,6.3,78.0,78,No,8.4,Fail
267,18,Female,4.5,57.8,54,No,6.0,Fail
268,18,Female,4.9,59.1,95,Yes,5.6,Fail
269,17,Male,9.1,93.1,88,No,7.3,Pass
270,17,Male,4.1,97.3,43,No,8.0,Pass
271,16,Female,5.6,68.7,68,Yes,7.8,Pass
272,18,Male,8.1,63.5,61,No,8.0,Pass
273,18,Male,4.6,82.2,64,No,6.2,Fail
274,18,Female,6.6,70.4,52,No,8.1,Pass
275,15,Male,8.8,51.3,57,Yes,4.6,Fail
276,18,Female,9.5,57.8,72,No,6.7,Pass
277,15,Male,2.3,85.8,55,No,4.0,Pass
278,16,Female,9.3,82.9,84,No,5.6,Pass
279,15,Female,5.4,51.4,81,No,5.8,Fail
280,16,Female,3.3,61.1,83,Yes,6.0,Pass
281,18,Female,5.1,61.6,41,Yes,7.5,Pass
282,18,Male,9.8,83.6,94,No,5.9,Pass
283,16,Female,5.4,51.0,74,No,6.2,Pass
284,17,Female,4.0,55.2,81,Yes,5.2,Pass
285,16,Female,6.7,90.0,73,Yes,5.9,Pass
286,17,Male,3.2,58.9,69,No,5.1,Pass
287,15,Female,1.7,82.6,98,Yes,4.4,Pass
288,15,Male,2.2,61.9,94,No,7.0,Pass
289,15,Female,2.2,55.0,52,Yes,7.3,Pass
290,18,Male,2.4,62.2,52,Yes,7.1,Pass
291,15,Male,2.2,86.1,57,Yes,6.3,Pass
292,17,Female,6.8,92.8,71,Yes,5.9,Pass
293,15,Male,2.6,91.5,71,No,8.3,Pass
294,16,Female,4.1,69.9,74,Yes,6.6,Fail
295,16,Female,9.1,83.4,98,Yes,6.4,Pass
296,18,Female,5.3,60.2,78,No,4.1,Pass
297,16,Male,7.0,64.7,85,Yes,5.7,Pass
298,17,Male,2.6,94.8,91,Yes,5.9,Pass
299,15,Female,2.7,50.7,68,No,6.0,Fail
300,18,Female,1.4,54.3,88,Yes,6.9,Pass
